B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,dataset,d,bpd
22,1.6819877457665176,1.6819877457665176,22,0,6,0,1.7415292474561086,22,,False,synth153,61,2.9303552628571414
51,0.7954409690602412,0.7954409690602412,51,0,6,0,0.8685100891896592,51,,False,synth154,76,5.410591575944268
39,0.5634217803437486,0.5634217803437486,39,0,5,0,0.5694517730441488,39,,False,synth155,49,6.527177273601398
27,0.7846780721613409,0.7290470087885011,28,1,6,0,0.8830850149657217,27,,False,synth156,39,5.555310527442771
8,1.6199115893682077,1.6199115893682077,8,0,4,0,1.647060427360798,8,,False,synth157,29,2.434758461707017
12,3.184038279164775,3.184038279164775,12,0,6,0,3.4674499143063713,12,,False,synth158,54,1.7853081300358178
28,9.744720088273995,9.393461842783326,29,1,7,0,10.441311616752722,28,,False,synth159,117,1.9230348690216328
11,0.5388133986902467,0.519447957395367,12,1,5,0,0.5521781844628252,11,,False,synth160,18,5.278022980750061
65,1.0008133590316446,1.0008133590316446,65,0,6,0,1.2247213438150064,65,,False,synth161,95,5.514857673004398
47,3.092870133580987,3.092870133580987,47,0,6,0,3.358613635281061,47,,False,synth162,106,3.613790473686639
36,2.3944259683670204,2.3944259683670204,36,0,5,0,2.431736894206947,36,,False,synth163,57,5.073246707930894
18,1.0574414064923492,1.0574414064923492,18,0,5,0,1.1162363165656877,18,,False,synth164,38,3.835636844030138
99,1.046277439399459,1.046277439399459,99,0,5,0,1.12076686781489,99,,False,synth165,119,6.719223659896356
12,11.45178163465847,10.839353015872641,13,1,5,0,11.939217213903035,12,,False,synth166,89,1.1208197609829489
26,7.376133166493584,7.376133166493584,26,0,7,0,7.875050795465073,26,,False,synth167,109,1.9162793436584544
38,0.2555026889061716,0.2555026889061716,38,0,4,0,0.26094816173836516,38,,False,synth168,41,7.486803483188272
6,6.593217107035152,6.5932171070351515,6,0,5,0,7.189687355906704,6,,False,synth169,45,1.1240595856829745
86,1.3638802189000685,1.3038646266173817,88,2,6,0,1.46923282919253,86,,False,synth170,119,5.809408178768972
65,1.039559328855485,1.039559328855485,65,0,6,0,1.1642641449643243,65,,False,synth171,101,5.216310075549243
46,4.001486382645475,4.001486382645475,46,0,6,0,4.712396239898968,46,,False,synth172,117,3.1656830622069814
21,0.274303798944355,0.274303798944355,21,0,5,0,0.2808031736454069,21,,False,synth173,32,5.483472740762479
7,2.454774248508851,2.454774248508851,7,0,5,0,2.5076186686252324,7,,False,synth174,33,1.841961760244354
39,0.4085973128800609,0.4085973128800609,39,0,5,0,0.4128054386450895,39,,False,synth175,51,6.127143394728415
6,2.2594464957419516,2.2594464957419516,6,0,4,0,2.4275626876421956,6,,False,synth176,24,2.23395449181132
49,0.3665285140940087,0.3665285140940087,49,0,4,0,0.372905896861212,49,,False,synth177,56,7.13467061030564
31,1.2928751257391289,1.2928751257391289,31,0,5,0,1.6071031901284536,31,,False,synth178,59,4.334814305364757
5,7.520336118266367,6.067989774098791,7,2,6,0,8.040105147507967,5,,False,synth179,56,0.8542941221188066
16,8.109089120861517,7.652344338051554,17,1,6,0,8.756706871335801,16,,False,synth180,77,1.753424928498477
27,0.17263273462253909,0.1625502611273445,28,1,5,0,0.19006676179353063,27,,False,synth181,32,6.777350267692366
28,4.020653638218679,4.020653638218679,28,0,6,0,4.149857880128689,28,,False,synth182,78,2.924864604417425
60,0.2896541752761706,0.2896541752761706,60,0,5,0,0.3107129139094177,60,,False,synth183,67,7.234991275998326
84,0.8948510833276005,0.8948510833276005,84,0,6,0,1.0173112741785704,84,,False,synth184,114,5.932852915654834
24,5.971036618739493,5.971036618739493,24,0,7,0,6.439190879771713,24,,False,synth185,98,1.9787558521739612
67,0.5297097994803623,0.5297097994803623,67,0,4,0,0.5996372729514721,67,,False,synth186,87,6.167141988942931
14,12.17780062134592,12.17780062134592,14,0,6,0,12.699495275365416,14,,False,synth187,111,1.009475854786137
3,3.502826373659664,3.0748083042135987,4,1,4,0,3.5070010498963065,3,,False,synth188,25,1.0836693156325525
79,0.7249245520714591,0.7249245520714591,79,0,6,0,0.7926456353786145,79,,False,synth189,107,5.916675166225142
8,12.54716454373155,12.54716454373155,8,0,6,0,13.014252679547942,8,,False,synth190,98,0.7184153110310951
6,12.374238153054664,10.627751980653674,8,2,5,0,13.152313311050648,6,,False,synth191,85,0.596789125821951
20,11.217538828857393,10.713306873626198,21,1,7,0,12.03211087282621,20,,False,synth192,108,1.5386833034372798
53,3.4633797908741495,3.4633797908741495,53,0,5,0,4.1572013639315974,53,,False,synth193,116,3.6946439683415266
80,0.796477704389053,0.796477704389053,80,0,5,0,0.8449149228753985,80,,False,synth194,106,6.071657555421777
10,0.35671696460124935,0.35671696460124935,10,0,3,0,0.5234515791327232,10,,False,synth195,16,5.208426685096109
22,1.2127550905839861,1.2127550905839861,22,0,6,0,1.2557135382349098,22,,False,synth196,57,3.189048027468471
19,7.972345789030361,7.23886934632484,21,2,8,0,8.394119669816007,19,,False,synth197,105,1.4518352114127753
19,3.3377887577857743,3.3377887577857743,19,0,5,0,3.523410914547086,19,,False,synth198,60,2.5480978148740685
25,1.1426375528693462,1.1426375528693462,25,0,5,0,1.2938882342048639,25,,False,synth199,53,3.818567312888814
