B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,d,bpd,solve_s
829,12.667922771193648,12.639300118067233,830,1,5,0,14.006121451748776,829,,False,1131,5.870451006211198,0.37
357,62.42954778687204,62.42954778687204,357,0,7,0,65.85803159881421,357,,False,1236,2.311918120487443,0.51
938,17.463003965488276,17.463003965488276,938,0,6,0,19.222046750983075,938,,False,1354,5.544160120687495,0.53
230,101.26874214521509,100.85784138002265,231,1,8,0,106.2780916233171,230,,False,1194,1.5467450668981875,0.47
589,41.83211813419272,41.59811596531401,591,2,7,0,44.19036828871178,589,,False,1414,3.333157213756007,0.65
850,24.46742710041184,24.46742710041184,850,0,6,0,27.381848165805657,850,,False,1438,4.729772226776597,0.65
1193,10.389776999485008,10.389776999485008,1193,0,5,0,10.984161666231019,1193,,False,1377,6.93309386879168,0.42
137,133.99295516271715,132.66864563569436,139,2,8,0,139.2639081685216,137,,False,1152,0.9544583187702751,0.41
950,11.670542721531909,11.670542721531909,950,0,5,0,12.484040009735809,950,,False,1184,6.419774075832829,0.36
373,81.79076885268836,81.79076885268836,373,0,7,0,86.53716291343986,373,,False,1407,2.1246459376195905,0.64
438,38.55473890871746,38.55473890871746,438,0,7,0,41.04824006039054,438,,False,1164,3.01597755742252,0.46
615,27.14957296683503,27.070691888868307,616,1,6,0,29.23769564062991,615,,False,1230,4.00221488643537,0.5
112,224.6451192933089,224.6451192933089,112,0,8,0,233.2281168597045,112,,False,1462,0.6146943488228384,0.61
1110,14.12823246162282,14.10703453960644,1111,1,5,0,15.454582066817407,1110,,False,1432,6.20163109073535,0.53
623,28.71468601337688,28.626719289855536,624,1,6,0,32.16640624646962,623,,False,1267,3.939699320513352,0.52
1101,10.464388096767564,10.464388096767564,1101,0,5,0,11.088685854288462,1101,,False,1274,6.917149631273772,0.39
219,133.02172668889858,132.54272269677173,220,1,8,0,139.5008224065299,219,,False,1405,1.2501868262540465,0.62
815,13.278142263457422,13.278142263457422,815,0,6,0,15.133140709468016,815,,False,1187,5.493818807705235,0.42
729,37.847885946490074,37.847885946490074,729,0,6,0,41.22159484293741,729,,False,1518,3.842075236881061,0.74
990,9.644119394846555,9.644119394846555,990,0,5,0,10.288771015358265,990,,False,1172,6.75928748195372,0.34
1107,8.057064620739549,8.048643252718222,1108,1,5,0,8.371880063568192,1107,,False,1212,7.3116065512632265,0.33
692,18.093289347010575,18.093289347010575,692,0,6,0,19.95105784965414,692,,False,1103,5.024229907992263,0.39
1063,16.376052941550785,16.376052941550785,1063,0,5,0,18.04219055695829,1063,,False,1447,5.8823639218133685,0.56
81,212.207921934471,211.0029515803352,82,1,8,0,218.15637267338514,81,,False,1222,0.5345976834968454,0.45
959,17.173604811101722,17.173604811101722,959,0,6,0,19.321345292009198,959,,False,1448,5.3024696032845995,0.61
639,21.7707372522608,21.7707372522608,639,0,6,0,24.28164770826711,639,,False,1159,4.4123794020366445,0.44
345,59.000534853548366,59.000534853548366,345,0,7,0,62.54053446936008,345,,False,1180,2.3433635356520854,0.46
908,14.146738311502482,14.146738311502482,908,0,5,0,15.3604049156647,908,,False,1208,6.018070343768594,0.39
626,23.426635790659397,23.426635790659397,626,0,6,0,25.337709771913048,626,,False,1197,4.1903620008783,0.48
653,24.389541049271582,24.389541049271582,653,0,6,0,27.623911244186196,653,,False,1192,4.384186689506647,0.46
1059,16.301725189795942,16.301725189795942,1059,0,6,0,17.87385408517766,1059,,False,1444,5.872142302171846,0.54
130,135.36765653595717,134.69421064014475,131,1,8,0,141.73265878533493,130,,False,1085,0.9643619421481519,0.37
548,35.420256305330966,35.420256305330966,548,0,6,0,37.893943214649696,548,,False,1255,3.496364357756609,0.52
758,30.264245326711315,30.264245326711315,758,0,6,0,33.220684048706374,758,,False,1472,4.121120814846941,0.7
909,13.38439488620246,13.38439488620246,909,0,5,0,15.241823126591465,909,,False,1259,5.780309489664276,0.43
969,12.361244003821339,12.361244003821339,969,0,5,0,13.980751071208697,969,,False,1339,5.792050250229565,0.5
901,20.236396514579095,20.236396514579095,901,0,6,0,22.683184696347396,901,,False,1418,5.0832629635521585,0.59
731,18.343650068903216,18.343650068903216,731,0,6,0,20.364836156764273,731,,False,1219,4.799996103750769,0.47
705,19.35328054432321,19.35328054432321,705,0,6,0,21.98166525678644,705,,False,1215,4.64466844745361,0.48
749,25.274199101484975,25.274199101484975,749,0,6,0,28.341943315723114,749,,False,1340,4.4740298871874895,0.58
873,17.758105626295066,17.758105626295066,873,0,6,0,20.015303018752846,873,,False,1329,5.2602594389708965,0.54
1270,12.68337636436909,12.68337636436909,1270,0,5,0,13.20415221082973,1270,,False,1438,7.070821295863682,0.46
446,63.16696586534787,63.16696586534787,446,0,7,0,67.16658742553244,446,,False,1414,2.5245670179356945,0.65
630,43.44205060069348,43.44205060069348,630,0,6,0,46.74132929477477,630,,False,1503,3.3538881579261757,0.74
