dim,bits,var,dp_mse,lloyd_mse,ratio,k_dp,k_lloyd
15,7,0.006618517450988293,1.0150812386200414e-06,1.1195724027857068e-06,1.1029387207547217,128,128
15,8,0.006618517450988293,2.479003455846396e-07,2.651525221608608e-07,1.0695931929240934,256,256
16,1,0.0064491406083106995,0.002324132015928626,0.002324132015928626,1.0,2,2
16,2,0.0064491406083106995,0.0007420237525366247,0.0007420237525366247,1.0,4,4
16,3,0.0064491406083106995,0.00021727662533521652,0.00021728876163251698,1.000055856433161,8,8
16,4,0.0064491406083106995,5.9720267017837614e-05,5.9924488596152514e-05,1.0034196360551084,16,16
16,5,0.0064491406083106995,1.5682680896134116e-05,1.589647217770107e-05,1.0136323172666004,32,32
16,6,0.0064491406083106995,3.990183813584736e-06,4.11340124628623e-06,1.030880139476782,64,64
16,7,0.0064491406083106995,9.88025703918538e-07,1.0655953701643739e-06,1.0785097654222884,128,128
16,8,0.0064491406083106995,2.4089274575089803e-07,2.586008349680924e-07,1.0735102635075027,256,256
17,1,0.006438818294554949,0.002305822679772973,0.002305822679772973,1.0,2,2
17,2,0.006438818294554949,0.0007440227782353759,0.000744022720027715,0.9999999217662918,4,4
17,3,0.006438818294554949,0.00021589139942079782,0.00021595714497379959,1.0003045306722647,8,8
17,4,0.006438818294554949,5.9331836382625625e-05,5.9396894357632846e-05,1.0010965103892566,16,16
17,5,0.006438818294554949,1.5452358638867736e-05,1.5999390598153695e-05,1.0354011948641935,32,32
17,6,0.006438818294554949,3.875950369547354e-06,3.979692792199785e-06,1.0267656736442026,64,64
17,7,0.006438818294554949,9.633863555791322e-07,1.0081211030410486e-06,1.0464348983176375,128,128
17,8,0.006438818294554949,2.3660071235553914e-07,2.56220118899364e-07,1.0829220096106171,256,256
18,1,0.006260908208787441,0.0022739071864634752,0.0022739071864634752,1.0,2,2
18,2,0.006260908208787441,0.0007355555426329374,0.0007355556008405983,1.0000000791342836,4,4
18,3,0.006260908208787441,0.0002158771821996197,0.0002159319701604545,1.0002537922733499,8,8
18,4,0.006260908208787441,5.9112953749718145e-05,5.957809844403528e-05,1.0078687439014895,16,16
18,5,0.006260908208787441,1.5711462765466422e-05,1.6379335647798143e-05,1.0425086379480653,32,32
18,6,0.006260908208787441,3.964841198467184e-06,4.098523277207278e-06,1.0337168809665758,64,64
18,7,0.006260908208787441,9.798692417462007e-07,1.041826294567727e-06,1.0632299190360484,128,128
18,8,0.006260908208787441,2.383971633435067e-07,2.607757494388352e-07,1.0938710250636798,256,256
19,1,0.00611719349399209,0.002213005442172289,0.002213005442172289,1.0,2,2
19,2,0.00611719349399209,0.0007112874300219119,0.0007112891180440784,1.000002373192742,4,4
19,3,0.00611719349399209,0.00020878475334029645,0.00020879424118902534,1.0000454432068295,8,8
19,4,0.00611719349399209,5.721696652472019e-05,5.7633013057056814e-05,1.0072713839549126,16,16
19,5,0.00611719349399209,1.5044828614918515e-05,1.558849726279732e-05,1.0361365796709507,32,32
19,6,0.00611719349399209,3.8254293031059206e-06,3.944651325582527e-06,1.031165658290903,64,64
19,7,0.00611719349399209,9.429273859495879e-07,1.0193446087214397e-06,1.0810425319176564,128,128
19,8,0.00611719349399209,2.280699504808581e-07,2.440954176563537e-07,1.0702655792300029,256,256
20,1,0.0060465591959655285,0.0021898928098380566,0.0021898928098380566,1.0,2,2
20,2,0.0060465591959655285,0.0007048363913781941,0.0007048362749628723,0.9999998348335539,4,4
20,3,0.0060465591959655285,0.00020657207642216235,0.00020658622088376433,1.0000684722826383,8,8
20,4,0.0060465591959655285,5.614068504655734e-05,5.6371340178884566e-05,1.0041085200890574,16,16
